,Brewery,brewery_id,review_overall,latitude,longitude,google_rating
570,Brasseurs Du Monde,25775,3.5,45.6351848,-72.9840112,4.5
571,Brasseurs Sans Gluten,26534,2.25,45.5674036,-73.5372845,4.4
714,Breaker Brewing Company,19304,3.77,41.2253184,-75.8688499,4.6
716,Breakwater Brewing,17988,3.36,33.1950924,-117.3791266,4.2
717,Breckenridge Brewery,2137,3.57,39.4761769,-106.0438371,4.4
718,Brecknock Brewing,21334,3.57,40.237418,-76.072312,4.1
721,Brenham Brewing Company,3816,3.67,30.1645023,-96.3985648,4.7
725,Brew It Up,8395,3.59,38.5851415,-121.2551204,4.8
726,Brew It Up Davis,1972,3.7,38.5446254,-121.7395781,4.7
729,Brewbaker,16242,3.86,32.374393,-86.210498,4.1
731,Brewbakers Brewing,3915,3.78,36.3298981,-119.2906706,4.5
734,Brewers Union Local 180,18250,3.64,43.74797,-122.456846,4.6
736,Brewery Ommegang,42,4.03,42.626822,-74.945662,4.5
737,Brewery Vivant,24678,3.69,42.9597264,-85.6462576,4.7
741,Brick House Brewery,873,3.84,42.1512663,-77.0610111,4.4
743,Brickworks Brewing,21882,3.83,39.2989103,-75.6000228,4.4
745,Bridge Brew Works LLC,22611,4.02,38.01651,-81.11368,4.6
752,Bristol Brewing Company,848,3.76,38.8112363,-104.8273919,4.3
753,Broad Ripple Brew Pub,1454,4.07,39.8735658,-86.1428589,4.4
754,Broadhead Brewing Company,27195,3.0,45.3277614,-75.71164139999999,4.7
758,Broken Drum Brewery And Wood Grill,981,3.5,37.9733896,-122.5290004,4
760,Brooklyn Brewery,45,3.91,40.7217239,-73.9571722,4.4
761,Brooksville Brewing Company,23590,2.25,28.5342171,-82.52443559999999,4.8
762,Brothers Brewing Company,795,4.12,43.5450408,-80.2480952,4.6
765,Broue Pub Brouhaha,17752,3.62,45.5423864,-73.58835479999999,4.5
839,Brouwerij West,23628,3.67,33.727299,-118.280219,4.7
858,Brugge Brasserie,11269,4.0,39.87055,-86.1412,4.4
859,Brutopia,815,3.41,45.4967386,-73.57442499999999,4.2
868,Buckeye Brewing Company,1837,3.76,41.477101,-81.80434199999999,4.5
870,Buckman Botanical Brewery,23924,3.62,45.5159562,-122.6564402,4.5
871,Budge Brothers Brewery,25685,2.94,47.6578182,-117.3799374,4.6
872,Buffalo Brewpub,9008,2.76,42.9649636,-78.6979289,4.2
875,Bull City Burger And Brewery,25220,4.0,35.995494,-78.899776,4.4
876,Bull Falls Brewery,16271,3.82,44.9514864,-89.61749859999999,4.7
879,Bullfrog Brewery,1114,4.04,41.240337,-77.005665,4.3
885,Burley Oak Brewery,26749,3.5,38.3336437,-75.21697759999999,4.8
890,Butte Creek Brewing Company,762,3.5,39.1234171,-123.1975791,0
893,Buzzards Bay Brewing,52,3.78,41.567758,-71.050101,4.7
896,CANOE Brewpub,6272,3.84,48.4296485,-123.3710216,4.3
897,COAST Brewing Company,16354,4.25,32.8735877,-79.9720038,4.7
898,CP Brewery at Brews and Cues,17894,3.5,39.1351056,-76.5862689,4.3
899,Calapooia Brewing Company,15636,3.98,44.6392607,-123.0940026,4.3
900,Caldera Brewing Company,1075,3.95,42.1819009,-122.662854,4.5
901,Calfkiller Brewing Company,25232,3.89,35.9448297,-85.4210332,4.9
902,California Brewing Company,3114,2.79,38.2721299,-122.6626671,4.7
903,Cambridge Brewing Company,14,4.05,42.366361,-71.09128299999999,4.2
906,Camo Brewing Company,881,1.96,36.1166282,-115.1038904,0
907,Cannery Brewing Company,4049,3.69,36.6155272,-121.9007828,3.9
908,Cannon Brew Pub,5246,3.54,32.4663506,-84.9936999,4.3
909,Cans Bar And Canteen,15179,3.5,41.9117151,-87.677627,4
910,Cape Ann Brewing Company,8325,3.73,42.611207,-70.665112,4.3
911,Cape Cod Beer,9602,4.04,41.6781432,-70.310088,4.6
912,Cape May Brewing Company,25890,4.44,39.002521,-74.912674,4.7
914,Capitol City Brewing,1133,3.66,38.9000059,-77.027418,4
915,Capitol City Brewing,1709,3.72,38.9000059,-77.027418,4
916,Capitol City Brewing,1794,3.8,38.9000059,-77.027418,4
917,Capitol City Brewing Company,1793,3.67,38.9000059,-77.027418,4
918,Captured By Porches Brewing Company,18997,3.23,45.5176545,-122.4340526,0
925,Carlyle Brewing Company,5392,3.95,42.2689619,-89.0906164,4.6
926,Carolina Beer Company,354,3.64,35.2205848,-80.9400606,3.2
929,Carolina Brewing Company,1499,3.9,35.6560063,-78.8543135,4.7
930,Carton Brewing Company,26817,4.07,40.4117822,-74.0381795,4.8
933,Castle Bay Irish Pub,7536,3.92,38.9778893,-76.4908743,4.4
934,Castle Danger Brewery,25567,4.0,47.0195575,-91.67343020000001,4.7
940,Catawba Valley Brewing Company,2446,3.91,35.744672,-81.68567399999999,4.4
941,Cathedral Square Brewery,22271,3.15,38.6169723,-90.21103289999999,4.4
943,Cavalry Brewing,23122,3.56,41.4740427,-73.1520316,4.6
944,Cave Mountain Brewing Company,18946,3.0,42.307294,-74.2510235,3.7
945,Cayucos Brewing Company,21012,3.25,35.3993744,-120.8623886,4.7
947,Celtic Bayou,1311,3.93,47.6691914,-122.1303266,3.5
950,Central Coast Brewing,409,3.21,35.28581700000001,-120.655724,4.7
951,Central Waters Brewing Company,652,3.95,44.4422564,-89.2796641,4.7
994,Chama River Brewing Company,2435,3.88,35.1399453,-106.5999663,4
996,Charleston Brewing Company,11842,3.51,38.3504345,-81.6355196,4.4
997,Charleville Vineyard Microbrewery,10549,3.83,37.7576787,-90.1503216,4.3
1001,Chattanooga Brewing Company,23344,4.0,35.036098,-85.314407,4.4
1002,Cheboygan Brewing Company,27032,4.0,45.6433449,-84.4784153,4.6
1003,Cheers Tavern,9138,2.88,33.6374022,-112.1878194,4.3
1004,Chelsea Brewing Company,1635,3.84,40.7510758,-74.0020274,4.1
1008,Chesapeake Bay Brewing Company,1501,3.64,38.9780662,-76.4974715,3.4
1012,Chicago Beer Company,24168,3.26,41.8870971,-87.67211830000001,4.7
1013,Chicago Brewing Company,2308,3.61,36.14744,-115.29808,4.2
1016,Chocolate City Beer,26647,3.18,38.9259329,-76.994732,0
1018,Christian Moerlein Brewing Company,10991,3.76,39.113997,-84.514775,4.5
1019,Church Brew Works,603,3.73,40.4621137,-79.9644489,4.3
1023,Circle Brewing Company,24825,3.12,30.3911269,-97.71537359999999,4.6
1024,Cismontane Brewing Company,22598,3.9,33.716353,-117.851777,4.4
1031,Cleveland ChopHouse And Brewery,1086,3.59,41.4994315,-81.6993047,4.5
1032,Climax Brewing Company,1307,4.02,40.659725,-74.28300399999999,4.9
1033,Clinton Street Brewing,11596,3.8,40.7197518,-73.9849705,4.5
1035,Coast Brewing Company,4774,3.64,32.8735877,-79.9720038,4.7
1037,Coastal Empire Beer Company,26714,3.0,32.0517478,-81.1239951,4.5
1040,Cocoa Beach Brewing Company,20409,3.3,28.3213539,-80.6090777,4.1
1041,Cody Brewing Company,16456,3.33,42.8573574,-70.9305236,0
1048,Colorado Mountain Brewery,23468,3.5,38.9934543,-104.8117593,4.1
1049,Columbia Brewery,5468,3.22,49.0889897,-116.5079622,4.3
1050,Columbia Valley Brewing,26397,3.5,47.432993,-120.313811,4.1
